MaritalStatus_Divorced,JobSatisfaction,Gender_Male,PerformanceRating,MaritalStatus_Single,JobLevel,DistanceFromHome,Age,WorkLifeBalance,OverTime_Yes,Education,Gender_Female,MonthlyIncome,YearsAtCompany,MaritalStatus_Married,Attrition,OverTime_No
0.0,3.0,0.0,3.0,0.0,2.0,11.0,24.0,3.0,0.0,3.0,1.0,8159.0,10.0,1.0,0.0,1.0
0.0,3.0,0.0,4.0,1.0,1.0,57.0,24.0,1.0,1.0,5.0,1.0,7319.0,1.0,0.0,1.0,0.0
0.0,2.0,0.0,3.0,1.0,2.0,26.0,29.0,1.0,0.0,4.0,1.0,8950.0,6.0,0.0,1.0,1.0
1.0,2.0,1.0,4.0,0.0,2.0,30.0,31.0,2.0,1.0,2.0,0.0,8090.0,22.0,0.0,0.0,0.0
0.0,2.0,1.0,4.0,0.0,3.0,10.0,29.0,2.0,0.0,3.0,0.0,7538.0,9.0,1.0,0.0,1.0
0.0,4.0,0.0,4.0,0.0,2.0,95.0,57.0,3.0,0.0,5.0,1.0,8201.0,33.0,1.0,0.0,1.0
0.0,4.0,0.0,4.0,0.0,1.0,30.0,45.0,3.0,1.0,2.0,1.0,7571.0,21.0,1.0,0.0,0.0
1.0,3.0,1.0,4.0,0.0,3.0,55.0,24.0,3.0,1.0,3.0,0.0,6334.0,11.0,0.0,0.0,0.0
0.0,2.0,1.0,4.0,0.0,2.0,92.0,53.0,1.0,0.0,2.0,0.0,7364.0,44.0,1.0,1.0,1.0
1.0,3.0,1.0,4.0,0.0,3.0,8.0,37.0,2.0,0.0,4.0,0.0,8632.0,9.0,0.0,0.0,1.0
0.0,1.0,0.0,4.0,0.0,1.0,14.0,25.0,2.0,1.0,2.0,1.0,6690.0,2.0,1.0,0.0,0.0
0.0,3.0,0.0,3.0,0.0,1.0,36.0,25.0,4.0,1.0,3.0,1.0,8397.0,3.0,1.0,0.0,0.0
0.0,4.0,0.0,4.0,0.0,3.0,44.0,55.0,2.0,1.0,3.0,1.0,9355.0,6.0,1.0,1.0,0.0
0.0,4.0,1.0,4.0,1.0,1.0,63.0,51.0,3.0,0.0,3.0,0.0,8407.0,16.0,0.0,1.0,1.0
0.0,4.0,1.0,4.0,0.0,3.0,35.0,47.0,2.0,0.0,3.0,0.0,8631.0,24.0,1.0,0.0,1.0
0.0,2.0,0.0,4.0,0.0,1.0,95.0,37.0,4.0,0.0,1.0,1.0,7949.0,2.0,1.0,0.0,1.0
0.0,3.0,0.0,4.0,1.0,3.0,44.0,21.0,2.0,0.0,4.0,1.0,7967.0,10.0,0.0,0.0,1.0
0.0,1.0,0.0,4.0,0.0,1.0,68.0,53.0,2.0,1.0,1.0,1.0,8876.0,23.0,1.0,1.0,0.0
0.0,3.0,1.0,4.0,1.0,1.0,73.0,49.0,3.0,0.0,3.0,0.0,8340.0,9.0,0.0,1.0,1.0
0.0,3.0,1.0,4.0,1.0,1.0,41.0,31.0,3.0,0.0,5.0,0.0,6135.0,19.0,0.0,0.0,1.0
0.0,4.0,1.0,3.0,0.0,3.0,62.0,47.0,1.0,0.0,2.0,0.0,7063.0,28.0,1.0,0.0,1.0
0.0,3.0,1.0,4.0,0.0,2.0,26.0,35.0,3.0,0.0,3.0,0.0,7625.0,17.0,1.0,0.0,1.0
0.0,2.0,1.0,4.0,1.0,1.0,57.0,40.0,2.0,1.0,1.0,0.0,6993.0,5.0,0.0,1.0,0.0
0.0,2.0,1.0,4.0,0.0,1.0,61.0,52.0,3.0,0.0,3.0,0.0,7529.0,15.0,1.0,0.0,1.0
0.0,3.0,1.0,4.0,0.0,1.0,72.0,58.0,2.0,1.0,3.0,0.0,8762.0,6.0,1.0,1.0,0.0
0.0,1.0,1.0,3.0,0.0,1.0,91.0,26.0,3.0,0.0,2.0,0.0,7406.0,3.0,1.0,1.0,1.0
0.0,2.0,1.0,4.0,0.0,1.0,35.0,56.0,4.0,0.0,1.0,0.0,6690.0,32.0,1.0,0.0,1.0
0.0,1.0,1.0,3.0,1.0,2.0,65.0,55.0,2.0,0.0,2.0,0.0,9177.0,40.0,0.0,1.0,1.0
0.0,2.0,0.0,4.0,0.0,3.0,44.0,26.0,3.0,0.0,1.0,1.0,7859.0,8.0,1.0,0.0,1.0
0.0,1.0,1.0,4.0,0.0,2.0,23.0,44.0,3.0,1.0,2.0,0.0,7430.0,13.0,1.0,0.0,0.0
0.0,2.0,1.0,3.0,0.0,1.0,46.0,19.0,2.0,1.0,1.0,0.0,7979.0,3.0,1.0,1.0,0.0
0.0,4.0,1.0,4.0,1.0,1.0,86.0,54.0,3.0,1.0,2.0,0.0,8736.0,2.0,0.0,1.0,0.0
