id,attrition,gender,age,maritalstatus,years_experience,years_experience_lastorganization,sector,department,jobtitle,monthlysalary,allowances,medicalinsurance,bonus,overtime,payment_overtime,rewards&wages_satisfaction,get__deserved_promotion,training_programs__during_last_three_years,useful_training_programs,business_travel,job_support,recognition,emotional_commitment,job_engagement,distance_to_work,work_live_balance,physical_stress,psychological_exhaustion,job_stability,health_issues,environment_satisfaction,job_satisfaction,job_opportunities,academic_degree_numeric
11, Yes,Female,31 to 40, Married, Less than 5 years, Less than 5 years,Medical sector,Accounting,Accountant, From 5000 to 10000 S.R ,2, No,No, No, I don't have overtime, Yes,Yes, From 1 to 3 training programs, Yes, I do not travel for work,Medium,No, Medium,Medium, Medium, Medium, Yes, No, No, Yes,Medium, Not satisfied,Yes,4
12, No,Female,21 to 30 , Single,Less than 5 years, Less than 5 years,Medical sector,Accounting,Accountant,From 11000 to 15000 S.R,2,Yes,Yes, No, I don't have overtime, Yes,Yes, From 1 to 3 training programs, Yes, Travel rarely,Medium, Yes, Medium,Medium, Medium, Medium, No, No, Yes, No,Medium, Satisfied, No,4
80, Yes, Male,31 to 40, Married, From 5 to 10 years, Less than 5 years,Medical sector, Technical support,IT specialist , From 5000 to 10000 S.R ,2,Yes,Yes, No, I don't have overtime, No, No, I did not receive any training,No, Travel rarely,Medium,No,Low,Medium, Medium, Medium, Sometimes, Yes, Yes, No,Medium, Not satisfied, No,1
99, Yes, Male,41 to 50, Married, From 11 to 15 years, Less than 5 years,Medical sector, Processes,Consultant, S.R 31000 - and more,2,Yes,No,Yes, No, No,Yes,From 4 to 6 training programs, Yes, Travel frequently,Medium, Yes, Medium,Medium, Close, Medium, Yes, Sometimes, No, No,Medium, Not satisfied,Yes,5
107, Yes,Female,51 to 60 , Married,From 26 to 30 years,From 5 to 10 years,Medical sector,Patient Affairs,Doctor, From 5000 to 10000 S.R ,0,Yes,No,Yes, Yes, No, No, From 1 to 3 training programs, Yes, I do not travel for work,Medium, Yes, High, Easy, Close,Easy, Sometimes, Sometimes, No, No,Medium, Satisfied,Yes,5
112, No,Female,31 to 40, Single,From 5 to 10 years,From 5 to 10 years,Medical sector,Patient Affairs,Doctor,From 21000 to 25000 S.R,2,Yes,No, No, No, No, No, From 1 to 3 training programs, Yes, Travel rarely, High,No,Low, Easy, Medium,Difficult, Yes, Yes, No, No, High, Satisfied, No,4
130, Yes,Female,21 to 30 , Single, From 5 to 10 years, Less than 5 years,Medical sector,Marketing,Marketing Specialist,Less than 5000 SAR,0,Yes,Yes, No, I don't have overtime, No, No, I did not receive any training,No, I do not travel for work, Low, Yes, Medium,Medium, Close, Medium, Yes, Yes, Yes, No,Medium, Satisfied,Yes,3
138, Yes,Female,21 to 30 , Single, From 5 to 10 years,From 5 to 10 years,Medical sector,Customers service,Customer services representative, From 5000 to 10000 S.R ,2,Yes,Yes,Yes, No, Yes, No, I did not receive any training,No, I do not travel for work, Low, Yes, High, Easy, Medium,Difficult, Sometimes, Yes, Yes, No, High, Not satisfied, No,1
144, Yes,Female,21 to 30 ,Married, Less than 5 years, Less than 5 years,Medical sector,Customers service,Customer services representative,Less than 5000 SAR,0,Yes,No,Yes, No, No, No, I did not receive any training,No, I do not travel for work, Low,No, Medium, Difficult, Close, Medium, Yes, Yes, Yes, No,Low, Satisfied, No,3
146, Yes, Male,21 to 30 , Single, Less than 5 years, Less than 5 years,Medical sector,Accounting,Accountant,Less than 5000 SAR,0, No,No, No, No, No, No, I did not receive any training,No, Travel frequently, Low,No,Low, Difficult,Far,Difficult, Yes, Yes, No, No,Low, Satisfied, No,1
